deal_id,start_date,min_req,treatment,prom_length,price,discount_pct,coupon_duration,featured,limited_supply,fb_likes,quantity_sold,revenue
dusable-museum,10/14/2011,15,1,3,30,50,369,0,1,85,230,6900
rusty-wallace-boston,10/15/2011,5,1,4,64,50,430,0,1,43,100,6400
little-shop-of-crafts-4,10/15/2011,15,1,3,15,50,126,0,1,35,520,7800
gl-musical-living-dead-cowardly-scarecrow,10/17/2011,5,1,2,12,52,4,0,1,47,70,840
gl-smokers-club-tour-react-presents,10/17/2011,10,1,3,13,55,10,0,1,268,470,6110
midamerica-raceway-and-hobbies,10/17/2011,25,1,2,20,50,186,0,0,20,300,6000
gl-dom-irrera-wilbur-theatre,10/17/2011,5,1,2,19,50,5,0,1,2,20,380
manhattan-ballroom-dance-1,10/17/2011,25,1,3,29,64,186,0,1,33,240,6960
cobble-hill-cinemas-1,10/17/2011,25,1,3,15,59,95,0,1,75,1000,15000
bronx-haunted-house,10/18/2011,10,1,3,5,50,14,0,0,115,200,1000
glenwood-roller-rink,10/18/2011,10,1,3,12,52,73,0,1,31,110,1320
rotorzen-helicopters-chi,10/18/2011,5,1,2,199,50,369,0,1,30,120,23880
gl-george-jones-genesee-theatre-1,10/19/2011,10,1,2,25,55,11,0,1,23,70,1750
gl-national-event-partners-2,10/19/2011,10,1,3,110,60,18,0,1,728,280,30800
gl-mercury-theater,10/19/2011,15,1,2,15,50,3,0,1,43,50,750
dhoonya-dance-nyc,10/19/2011,20,1,3,35,56,186,0,0,71,270,9450
merchants-house-museum,10/20/2011,50,1,3,5,50,131,0,1,54,310,1550
save-the-bay-boston,10/20/2011,15,1,5,15,52,180,0,0,7,30,450
pickwick-theatre-3,10/20/2011,200,1,2,15,46,57,0,1,100,1000,15000
ecotarium-boston,10/22/2011,20,1,5,12,50,172,0,1,51,250,3000
massacre-haunted-house-chicago,10/22/2011,15,1,3,17,51,9,1,0,75,410,6970
chicago-race-factory-1,10/23/2011,25,1,3,30,59,186,1,0,250,960,28800
south-shore-pottery-1,10/23/2011,15,1,5,25,55,186,0,0,50,120,3000
stratagem-laser-missions,10/25/2011,20,1,4,20,60,185,0,1,113,530,10600
micro-ice-training-center,10/25/2011,10,1,5,28,50,95,0,1,16,70,1960
strike-10-lanes,10/26/2011,10,1,3,6,54,186,0,0,59,470,2820
gl-nutcracker-noble-horse,10/27/2011,25,1,2,11,50,67,0,0,102,1000,11000
tristate-speedway-1,10/27/2011,10,1,5,20,56,124,0,0,70,320,6400
tango-21,10/30/2011,25,1,2,25,55,185,0,0,41,280,7000
great-american-cooking-expo,10/30/2011,25,1,3,20,50,13,0,1,148,1000,20000
competitive-athlete-training-zone,10/31/2011,10,1,5,35,84,124,0,1,70,720,25200
ultimate-battleground,10/31/2011,5,1,4,25,50,369,0,1,92,100,2500
hollywood-stunts-nyc,10/31/2011,15,1,3,19,58,185,0,0,129,300,5700
novembeerfest,11/1/2011,10,1,2,10,50,19,0,1,168,420,4200
haunted-house-nyc-1,11/2/2011,5,1,2,15,50,2,0,1,58,120,1800
irish-american-news-inc,11/2/2011,20,1,3,20,50,11,0,1,60,90,1800
imagine-that-nyc,11/3/2011,5,1,3,10,52,185,0,0,15,90,900
bella-voce-chicago,11/6/2011,10,1,2,30,50,14,0,1,34,210,6300
jump-zone-chicago-2,11/6/2011,250,1,3,30,50,95,0,1,279,1000,30000
gl-shake-rattle-roll,11/6/2011,20,1,3,26,62,237,0,0,66,240,6240
the-peoples-choice-family-fun-center,11/6/2011,25,1,3,39,63,185,0,1,49,190,7410
chicago-blues-bluegrass-festival,11/7/2011,25,1,3,40,49,75,0,1,561,460,18400
cooks-arts-crafts-shoppe-1,11/7/2011,10,1,2,25,55,185,0,1,39,70,1750
aurora-roller-skate-center,11/7/2011,25,1,2,12,73,185,0,1,113,450,5400
the-clayroom-boston,11/8/2011,20,1,6,45,55,363,0,1,39,130,5850
hitting-zone-chicago,11/8/2011,20,1,2,12,52,124,0,1,19,220,2640
international-museum-surgical-science,11/8/2011,15,1,3,20,50,369,0,1,65,300,6000
lahouts-country-clothing-and-ski-shop,11/9/2011,15,1,7,20,56,185,0,1,14,80,1600
gl-illinois-philharmonic-orchestra,11/9/2011,5,1,2,25,55,12,0,1,7,50,1250
cvcinemart-enterprises-nyc,11/9/2011,25,1,3,9,59,189,0,1,182,1000,9000
cpx-sports-paintball-3,11/9/2011,25,1,3,30,67,185,0,1,352,710,21300
gl-big-east-new-york,11/9/2011,5,1,2,15,58,3,0,1,52,70,1050
one-stop-fun-boston-2,11/10/2011,25,1,5,25,50,186,0,1,131,590,14750
gl-irving-plaza-english-beat,11/10/2011,5,1,2,19,50,10,0,1,17,60,1140
krush-skate-park,11/11/2011,25,1,3,12,50,185,0,1,54,200,2400
glowgolf-2,11/12/2011,40,1,5,16,56,191,0,1,140,1000,16000
homewoodflossmoor-ice-arena,11/12/2011,10,1,3,14,50,158,0,1,22,200,2800
gl-tap-root-shop-class,11/14/2011,10,1,2,7,50,4,0,1,79,60,420
illinois-holocaust-museum-1,11/14/2011,100,1,3,6,50,184,0,0,249,5000,30000
staten-island-skating-pavilion-2,11/14/2011,10,1,2,14,50,129,0,1,42,160,2240
gl-andre-rieu-verizon-wireless-arena,11/15/2011,5,1,6,44,50,7,0,1,20,210,9240
gl-ticketcity-legends-classic-nyc,11/15/2011,10,1,2,17,51,371,0,1,24,80,1360
gl-chicago-express-hockey,11/15/2011,10,1,2,19,54,2,0,1,20,130,2470
gl-house-of-hope-chicago,11/15/2011,10,1,2,19,51,4,0,1,169,450,8550
village-divers-new-york,11/15/2011,20,1,3,20,83,190,0,1,99,240,4800
museum-of-sex-new-york,11/15/2011,25,1,6,19,50,187,1,1,1354,5000,95000
boston-tower-hill,11/15/2011,20,1,6,11,52,187,0,1,34,520,5720
gl-la-boheme-american-chamber-opera,11/16/2011,10,1,2,20,50,4,0,1,136,70,1400
gl-irving-plaza-architecture,11/16/2011,5,1,2,15,48,3,0,1,36,90,1350
boston-amesbury-sports-park,11/16/2011,50,1,3,24,50,93,1,1,603,1000,24000
rocket-ice-arena-1-chicago,11/16/2011,50,1,2,8,56,190,0,1,109,1000,8000
rialto-square-theatre,11/16/2011,20,1,2,17,55,7,0,1,52,290,4930
queens-archery,11/16/2011,20,1,3,14,53,189,0,0,536,1000,14000
aviator-sports-and-events-center-1,11/17/2011,15,1,3,12,54,165,0,1,98,730,8760
gl-architecture-helsinki-metro,11/17/2011,10,1,2,17,60,5,0,1,98,90,1530
medieval-times,11/17/2011,25,1,2,39,42,2,0,1,489,710,27690
got-air-scuba,11/18/2011,10,1,3,22,71,317,0,0,107,340,7480
grand-prix-nyc,11/18/2011,10,1,3,19,61,187,1,1,332,1000,19000
tafts-tackle-and-charter-services,11/18/2011,5,1,6,79,74,107,0,1,71,130,10270
gl-peter-pan-city-hall-plaza,11/19/2011,35,1,7,100,50,9,1,1,147,850,85000
sledventures-boston,11/20/2011,20,1,5,79,47,108,0,1,139,410,32390
gl-baroque-garden-of-roses-chamber-orchestra-nyc,11/21/2011,5,1,3,20,50,12,0,1,17,120,2400
monster-mini-golf-boston-2,11/21/2011,5,1,5,16,50,371,0,0,65,540,8640
la-grange-theatre-chicago,11/21/2011,100,1,4,5,55,190,0,1,204,5000,25000
gl-boston-college,11/21/2011,50,1,3,8,47,9,1,1,56,1000,8000
zip-aviation-new-york,11/22/2011,10,1,4,149,39,130,1,0,60,280,41720
kendall-square-ice-skating,11/22/2011,50,1,6,14,53,493,1,0,276,1000,14000
chicago-school-of-shoemaking,11/23/2011,5,1,6,35,53,186,0,1,52,70,2450
city-ice-pavilion-1-ny,11/23/2011,25,1,3,6,54,99,0,0,221,1000,6000
beadles-1-boston,11/23/2011,25,1,4,20,50,188,0,0,34,330,6600
leafs-ice-centre,11/24/2011,10,1,4,10,50,187,0,0,24,430,4300
chicagos-finest-river-walk-tour-1,11/26/2011,15,1,5,20,50,154,1,1,80,1000,20000
gl-second-city,11/28/2011,250,1,4,35,50,103,1,1,142,1000,35000
craftboston-holiday,11/28/2011,10,1,5,15,50,11,0,1,44,250,3750
gauntlet-warbirds-chicago-4,11/29/2011,5,1,3,234,40,277,0,1,95,120,28080
chicago-botanic-garden-3,11/29/2011,100,1,3,30,54,17,1,1,258,1000,30000
nashoba-valley-ski-area,11/29/2011,10,1,5,27,50,97,0,1,248,1000,27000
shedd-aquarium-3,11/30/2011,300,1,3,32,49,23,1,1,1254,5000,160000
gl-le-dance-on-stage-at-kingsborough,11/30/2011,3,1,3,16,52,3,0,1,9,50,800
gl-radio-city-christmas-msge,12/1/2011,10,1,5,42,51,5,1,1,154,5000,210000
ocean-explorium-1-boston,12/1/2011,15,1,5,15,52,375,0,0,10,170,2550
charmingfare-farm-2,12/1/2011,5,1,5,30,50,20,0,1,25,90,2700
glenwood-roller-rink-and-tinley-park-roller-rink,12/2/2011,10,1,3,12,52,61,0,1,35,240,2880
gl-wearing-lorcas-tie-aeny-el-puente,12/2/2011,5,1,3,20,50,6,0,1,21,30,600
gx-melrose-park-indoor-grand-prix,12/2/2011,50,1,7,25,73,723,0,0,124,1000,25000
museum-of-contemporary-art-4,12/2/2011,50,1,4,35,53,210,1,1,122,1000,35000
gl-midtown-theater,12/2/2011,3,1,2,29,51,3,0,1,19,80,2320
joyce-walks-chicago-2,12/3/2011,10,1,3,25,50,119,1,1,20,90,2250
gl-nyc-dueling-pianos,12/3/2011,10,1,3,25,58,84,0,0,20,200,5000
scuba-sensations,12/3/2011,3,1,4,39,51,374,0,1,34,130,5070
unity-temple-1,12/4/2011,15,1,2,10,50,130,1,1,31,890,8900
luke-adams-glass-2,12/4/2011,15,1,4,95,50,373,0,1,58,500,47500
gl-kenny-rogers-genesee-theatre,12/5/2011,5,1,3,29,50,8,0,1,44,280,8120
gx-cape-ann-whale-watch-boston,12/5/2011,10,1,8,58,40,325,0,0,16,290,16820
gl-ralphs-world,12/5/2011,5,1,4,29,44,5,0,1,66,70,2030
fun-station,12/5/2011,10,1,2,10,47,94,0,1,18,130,1300
the-badlandz,12/6/2011,35,1,3,23,50,207,0,1,52,260,5980
gl-chicago-a-cappella,12/6/2011,5,1,2,14,50,4,0,1,12,110,1540
the-new-400-theater-1-chicago,12/6/2011,50,1,3,14,50,190,0,1,179,1000,14000
gl-lawlawpalooza-chicago-bar-association,12/6/2011,5,1,2,22,51,2,0,1,36,90,1980
stambrys-crecent-moon-soap-company,12/7/2011,5,1,5,45,50,174,0,1,16,150,6750
rialto-square-theatre-1,12/7/2011,25,1,2,21,59,4,0,1,22,340,7140
sky-high-sports,12/8/2011,25,1,2,9,53,189,0,1,224,5000,45000
gl-rosemont-theatre,12/8/2011,5,1,4,30,51,8,0,1,6,20,600
melrose-park-indoor-grand-prix-1-chicago,12/9/2011,50,1,3,25,73,720,0,0,90,1000,25000
lahouts-country-clothing-and-ski-shop-1,12/9/2011,15,1,6,30,50,109,0,1,16,110,3300
vendetta-paintball-3,12/9/2011,10,1,4,15,57,186,0,0,75,300,4500
gl-teatro-luna,12/9/2011,2,1,3,11,52,1,0,1,61,60,660
bobbys-bike-hike-chicago-2,12/10/2011,10,1,3,49,51,327,0,1,2,70,3430
gl-surround-sound-ngine-media-group,12/10/2011,10,1,3,30,57,7,0,1,6,80,2400
chicago-photo-safaris-3,12/11/2011,25,1,3,59,50,386,1,0,57,600,35400
gl-elmhurst-symphony-orchestra,12/12/2011,4,1,3,18,50,34,0,1,8,10,180
whitestone-lanes-1-ny,12/12/2011,15,1,3,9,53,191,0,1,66,530,4770
art-glass-and-more,12/12/2011,5,1,3,70,52,191,0,1,22,140,9800
shedd-aquarium-4,12/12/2011,300,1,2,20,50,8,1,1,375,1000,20000
gl-windy-city-circus,12/13/2011,25,1,3,42,52,70,1,1,44,25,1050
boston-battlegroundz-paintball,12/13/2011,10,1,5,39,64,188,0,1,169,470,18330
centennial-ice-arena-in-highland-park,12/14/2011,25,1,2,9,50,165,0,1,24,210,1890
gl-chicago-blackhawks-1,12/14/2011,10,1,3,110,60,19,1,1,438,10,1100
cape-ann-lanes-1,12/14/2011,10,1,4,35,59,188,0,1,19,180,6300
circle-of-stones-chicago-1,12/15/2011,10,1,2,30,54,252,0,1,5,80,2400
victory-archers-1-ny,12/15/2011,5,1,4,10,50,187,0,1,31,440,4400
metropolitan-room,12/15/2011,20,1,4,49,60,124,0,1,9,170,8330
d-d-dive-shop,12/15/2011,5,1,2,160,51,161,0,1,10,50,8000
whaleback,12/15/2011,5,1,5,40,50,130,1,0,56,210,8400
wilmette-theatre-chicago,12/16/2011,50,1,3,12,50,187,0,1,28,1000,12000
cornerstone-ranch-boston-4,12/16/2011,25,1,4,22,54,186,1,1,54,520,11440
gx-chicagoland-skydiving-center,12/16/2011,15,1,7,125,46,193,0,0,173,540,67500
chicago-detours-2,12/17/2011,50,1,3,25,52,158,1,1,30,830,20750
monkey-zone-chicago,12/17/2011,25,1,3,10,55,186,0,1,25,620,6200
gl-harvard-athletics,12/18/2011,25,1,4,16,47,3,0,1,15,240,3840
fun-city-new-york,12/18/2011,10,1,3,19,62,129,0,1,37,330,6270
xtreme-trampolines-1,1/10/2012,50,1,2,17,55,112,0,0,469,1000,17000
custom-rides-car-show,1/10/2012,5,1,2,12,54,13,0,1,62,490,5880
the-discovery-museums-1,1/10/2012,10,1,4,21,50,141,0,0,106,720,15120
jenks-productions-boston,1/10/2012,15,1,7,12,50,8,0,0,11,130,1560
gl-loyola-mens-basketball,1/14/2012,15,1,3,15,61,5,0,1,16,150,2250
gl-gorilla-tango-theatre,1/16/2012,50,1,3,20,50,102,0,1,99,420,8400
gl-mckay-arts-management,1/17/2012,2,1,2,12,75,4,0,1,3,10,120
frames-bowling-lounge-1,1/17/2012,50,1,6,26,52,124,1,0,138,1000,26000
gl-dominican-university,1/18/2012,10,1,2,12,56,11,0,1,11,30,360
gl-webster-hall,1/20/2012,10,1,3,10,79,187,0,1,73,420,4200
cornerstone-ranch-boston-6,1/21/2012,25,1,4,22,54,185,0,0,30,170,3740
gl-made-in-america-lsso,1/23/2012,3,1,2,9,50,7,0,1,8,40,360
gl-ph-productions,1/24/2012,50,1,3,10,55,99,0,0,49,240,2400
gl-romantic-abandon-renovo,1/30/2012,4,1,2,25,51,12,0,1,7,20,500
gl-dance-chicago,1/31/2012,5,1,3,28,50,14,0,1,32,30,840
pickwick-theatre-chicago-1,1/31/2012,200,1,4,15,46,85,0,0,81,1000,15000
wild-fun-center,2/2/2012,25,1,3,16,50,188,0,0,14,170,2720
gl-loyola-mens-basketball-chicago,2/7/2012,15,1,2,15,61,5,0,1,10,50,750
gl-gingerbread-house-red-tape,2/7/2012,3,1,2,12,54,4,0,1,20,40,480
gl-harlem-globetrotters-nyc,2/7/2012,25,1,3,39,45,11,0,1,12,210,8190
gl-northeastern-mens-basketball,2/8/2012,10,1,4,10,50,125,0,1,13,90,900
gl-windy-city-circus-1,2/11/2012,25,1,4,20,50,5,0,1,17,25,500
lets-go-paragliding,2/14/2012,25,1,6,99,58,73,0,1,102,190,18810
spare-time-chicago-3,6/11/2012,25,1,4,12,74,166,0,0,118,1000,12000
dc-gmt-slice-chicago-tours,6/27/2012,20,1,7,22,51,106,0,1,250,470,10340
slice-of-chicago-pizza-tours-3,7/24/2012,20,1,3,22,51,83,0,1,52,310,6820
3rd-coast-cruising-1,5/18/2012,1,0,3,75,50,378,1,1,4,50,3750
516-skydive-new-york,4/30/2012,1,0,7,145,39,170,0,1,1226,900,130500
92nd-st-y-nyc,2/16/2012,1,0,3,29,82,125,0,0,30,1000,29000
above-all-cruises-ny,6/6/2012,1,0,4,39,51,207,0,1,92,900,35100
adaptive-adventures,4/14/2012,1,0,3,10,0,5,0,1,0,20,200
adirondack-tubing-adventures-3,5/17/2012,1,0,5,22,49,106,0,1,11,40,880
affairs-afloat-2,4/28/2012,1,0,4,9,63,157,0,1,398,1000,9000
air-ventures-new-york-1,2/9/2012,1,0,7,299,46,205,0,0,17,30,8970
american-flyers-2,7/31/2012,1,0,4,149,62,364,0,1,35,320,47680
american-princess-cruises-1,1/23/2012,1,0,3,13,52,83,0,0,62,410,5330
amf-bowling-chicago,5/27/2012,1,0,3,15,64,84,0,0,15,280,4200
amf-bowling-new-york,4/30/2012,1,0,3,15,64,90,0,0,40,490,7350
amf-new-york,6/4/2012,1,0,4,15,64,75,0,0,47,320,4800
ballymeade-country-club-2,2/1/2012,1,0,4,80,50,370,1,0,43,840,67200
battleground-z-paintball,6/27/2012,1,0,4,39,64,186,0,1,92,90,3510
berry-dive-center-1,7/21/2012,1,0,6,157,50,92,0,1,27,60,9420
biplane-rides-over-atlanta-inc-1,5/13/2012,1,0,5,87,50,153,0,1,17,2,174
blastcamp-paintball,1/21/2012,1,0,3,39,61,186,0,1,64,150,5850
boating-in-boston-6,7/2/2012,1,0,5,35,53,61,1,1,64,300,10500
boobs-and-tubes-1,6/30/2012,1,0,3,119,51,28,0,0,52,10,1190
boston-chocolate-walking-tours-2,7/28/2012,1,0,6,20,50,365,0,1,88,680,13600
boston-firearms,5/10/2012,1,0,5,35,59,249,0,1,257,710,24850
boston-gliders-3,2/14/2012,1,0,5,30,50,379,1,0,80,910,27300
boston-harbor-cruises-5,7/9/2012,1,0,5,28,42,74,0,1,113,1000,28000
boston-night-tour-salem,6/5/2012,1,0,5,13,50,207,0,1,118,1000,13000
boston-photo-walks-3,7/3/2012,1,0,6,29,52,187,0,1,6,50,1450
boston-strolls-1,6/16/2012,1,0,5,14,53,156,0,1,17,50,700
bowl-o-rama,4/28/2012,1,0,4,29,64,157,0,1,32,240,6960
brockton-rox,7/8/2012,1,0,5,16,50,30,0,1,23,150,2400
brooklyn-creative,1/27/2012,1,0,3,35,61,187,0,0,18,80,2800
calvo-studio-1,6/14/2012,1,0,5,79,65,44,0,1,14,20,1580
cambridge-historical-tours,6/2/2012,1,0,5,15,50,88,0,1,26,400,6000
canlan-ice-sports-6,7/18/2012,1,0,4,148,51,8,0,1,13,10,1480
cape-ann-lanes-2,5/29/2012,1,0,5,35,59,188,0,1,10,180,6300
capt-john-whale-watching,6/19/2012,1,0,5,53,41,101,0,1,171,1000,53000
caravan-beads-of-chicago-2,1/23/2012,1,0,3,25,50,100,0,1,21,260,6500
cartland-cape-cod-1,7/28/2012,1,0,5,21,51,32,0,1,52,460,9660
central-park-sightseeing-1,5/31/2012,1,0,4,10,50,187,0,1,144,1000,10000
ceramics-a-la-carte-1,1/15/2012,1,0,4,20,50,106,0,1,14,250,5000
chaino-lakes-riding-stable,6/23/2012,1,0,3,7,50,127,0,0,169,1000,7000
charles-river-canoe-kayak-3,6/18/2012,1,0,5,55,50,111,0,1,99,370,20350
charles-river-museum-industry,2/7/2012,1,0,4,7,50,189,0,1,19,420,2940
checkered-flag-indoor-karting-2,7/31/2012,1,0,5,35,63,86,0,1,39,260,9100
chicago-artists-coalition,10/31/2011,1,0,2,20,0,9,0,1,131,140,2800
chicago-artists-coalition-1,11/3/2011,1,0,4,20,0,4,0,1,34,30,600
chicago-photo-safaris-4,5/13/2012,1,0,3,59,50,232,1,1,30,110,6490
chicago-premier-boat-rental-leasing,4/12/2012,1,0,4,78,61,185,0,1,59,70,5460
chicago-race-factory-2,1/28/2012,1,0,3,30,52,186,0,0,82,960,28800
chicago-race-factory-4,5/6/2012,1,0,3,30,52,185,0,1,73,470,14100
chicago-yacht-share,5/29/2012,1,0,3,119,60,95,0,1,16,20,2380
chicagos-finest-river-walk-tour-2,2/16/2012,1,0,4,20,60,104,1,0,50,910,18200
childrens-museum-oak-lawn,2/14/2012,1,0,3,6,50,127,0,1,174,1000,6000
cinemart-cinemas,1/26/2012,1,0,4,12,54,369,0,0,164,1000,12000
circle-line-downtown-1,5/11/2012,1,0,5,14,52,139,1,1,203,1000,14000
city-lights-cruises-3,7/25/2012,1,0,6,45,53,155,0,1,100,630,28350
citysolve-urban-race-chicago,6/30/2012,1,0,4,30,54,13,0,1,76,20,600
cobble-hill-new-york,1/31/2012,1,0,4,17,59,98,0,0,200,5000,85000
coffee-tea-festival,2/17/2012,1,0,3,10,57,8,0,1,0,310,3100
community-rowing-boathouse-1,5/18/2012,1,0,5,18,51,118,1,1,89,440,7920
coney-island-luna-park,4/12/2012,1,0,4,22,50,143,0,1,688,1000,22000
courageous-sailing-center-4,2/12/2012,1,0,8,95,50,134,1,1,43,250,23750
cowboy-jims-western-adventures-1,7/30/2012,1,0,5,35,53,126,0,1,32,180,6300
cpx-sports,7/30/2012,1,0,5,30,67,182,0,1,216,570,17100
crawfish-festival-at-z-hotel,7/9/2012,1,0,5,30,54,10,0,1,11,30,900
created-by-you,2/6/2012,1,0,3,15,52,191,0,0,27,150,2250
custom-rides-car-show-1,1/17/2012,1,0,3,12,54,5,0,1,27,230,2760
dc-624-amf-chicago-1,6/24/2012,1,0,3,15,64,70,0,0,3,80,1200
dc-brd-5-bar-karaoke-lounge,7/11/2012,1,0,7,25,54,122,0,0,128,140,3500
dc-brd-above-all-cruises,7/11/2012,1,0,7,14,44,122,0,1,169,400,5600
dc-brd-chicago-savvy-tours,7/11/2012,1,0,7,12,52,108,0,1,57,1000,12000
dc-brd-eskape-entertainment-center,7/11/2012,1,0,7,25,70,185,0,0,42,420,10500
dc-brd-jump-trax,7/11/2012,1,0,7,25,50,48,0,1,23,60,1500
dc-bs1-memories-and-beyond,7/25/2012,1,0,7,25,50,157,0,1,18,500,12500
dc-bth-boobs-and-tubes-new-york,7/18/2012,1,0,7,119,51,6,0,0,217,10,1190
dc-bth-cityside-harbor-shuttle,7/18/2012,1,0,7,30,50,55,0,0,148,130,3900
dc-bth-courageous-sailing-center,7/18/2012,1,0,7,95,50,70,0,0,14,40,3800
dc-bth-midtown-bike-shop,7/18/2012,1,0,7,10,50,185,0,1,15,130,1300
dc-fd2-dirtventures-atv-rentals,6/6/2012,1,0,7,59,50,97,0,1,58,130,7670
dc-fd2-gt-dream-cars,6/6/2012,1,0,7,49,79,385,0,1,307,1000,49000
dc-ghd-bike-and-roll-chicago,2/2/2012,1,0,6,59,50,238,0,1,32,350,20650
dc-ghd-fireside-bowl,2/2/2012,1,0,6,12,75,185,0,0,85,1000,12000
dc-ghd-frames-bowling-lounge,2/2/2012,1,0,6,26,52,129,0,0,63,810,21060
dc-ghd-long-live-paintball,2/2/2012,1,0,6,25,58,117,0,1,194,380,9500
dc-ghd-paint-for-fun,2/2/2012,1,0,6,25,50,185,0,1,9,10,250
dc-gmt-celebrity-planet-cupcake,6/27/2012,1,0,7,25,50,185,0,0,142,130,3250
dc-j41-gl-shop-class,6/20/2012,1,0,7,12,40,33,0,1,118,200,2400
dc-out-boating-in-boston,5/16/2012,1,0,7,249,38,31,0,1,10,60,14940
dc-out-cpx-sports-paintball,5/16/2012,1,0,7,30,67,185,0,0,455,690,20700
dc-out-fun-station,5/16/2012,1,0,7,10,50,122,0,0,21,110,1100
dc-val-david-anthony-art,1/27/2012,1,0,6,105,65,184,0,1,25,40,4200
dc-val-pickwick-theatre,2/9/2012,1,0,8,15,46,73,0,0,22,440,6600
dennis-pasamba-dance-company,5/14/2012,1,0,3,21,50,93,0,1,13,140,2940
depaul-university-soccer-camps,6/8/2012,1,0,3,99,51,3,0,1,2,20,1980
doug-foleys-drag-chicago,5/13/2012,1,0,3,74,50,30,0,1,60,50,3700
essex-river-cruises-and-charters,5/16/2012,1,0,5,14,50,135,0,1,53,1000,14000
facets-cinematheque,7/30/2012,1,0,4,16,50,183,0,1,23,440,7040
facets-cinematheque-chicago,1/12/2012,1,0,2,14,56,189,0,1,39,510,7140
family-fun-zone,5/9/2012,1,0,3,35,53,189,0,1,12,120,4200
fiamma-art-glass,6/13/2012,1,0,5,50,49,82,0,1,67,150,7500
fine-jewelry-school,5/8/2012,1,0,3,49,61,372,0,1,9,100,4900
firezone-1,2/4/2012,1,0,4,9,50,332,0,0,52,450,4050
flyers-boat-rentals,6/29/2012,1,0,5,15,50,33,0,1,15,80,1200
fox-paintball-4,7/3/2012,1,0,4,30,68,189,0,1,49,120,3600
fun-flatables-1,4/14/2012,1,0,3,19,58,186,0,1,89,590,11210
fun-station-3,5/8/2012,1,0,3,10,47,127,0,1,47,290,2900
funflatables-chicago,2/17/2012,1,0,3,19,58,124,0,0,0,990,18810
funtown-splashtown-usa-1,6/11/2012,1,0,5,25,50,82,0,1,274,1000,25000
funway-foxboro,5/31/2012,1,0,4,25,55,87,0,1,36,690,17250
